City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Mount Isa,AU,-20.7333,139.5,92.97,33,40,12.66,scattered clouds
166,Kanniyakumari,IN,8.0833,77.5667,85.64,56,15,13.98,few clouds
167,Novobirilyussy,RU,56.9514,90.6661,15.69,83,100,9.24,overcast clouds
168,Hokitika,NZ,-42.7167,170.9667,60.1,87,0,2.62,clear sky
169,Marawi,PH,7.9986,124.2928,74.64,77,100,6.42,overcast clouds
170,Cockburn Town,TC,21.4612,-71.1419,76.62,77,11,25.55,few clouds
171,Wangaratta,AU,-36.3667,146.3333,92.3,29,40,13.8,scattered clouds
172,Buin,CL,-33.7333,-70.75,68.05,70,0,1.86,clear sky
173,Malakal,SS,9.5334,31.6605,88.5,12,2,11.92,clear sky
174,Kabinda,CD,-6.1333,24.4833,68.79,91,100,2.66,light rain
175,Kizema,RU,61.113,44.8302,28.15,89,100,11.79,overcast clouds
176,Nambucca Heads,AU,-30.65,153.0,75.2,71,4,9.93,clear sky
177,Mombetsu,JP,44.3525,143.3525,21.63,82,99,9.08,overcast clouds
178,Aitape,PG,-3.1374,142.3475,82.18,79,100,3.91,overcast clouds
179,Teguise,ES,29.0605,-13.564,57.42,72,20,10.36,few clouds
180,Ambilobe,MG,-13.2,49.05,87.28,66,27,2.98,light rain
181,Najran,SA,17.4924,44.1277,72.25,23,0,4.03,clear sky
182,Miraflores,MX,19.2167,-98.8083,60.03,62,60,2.91,broken clouds
183,Georgetown,MY,5.4112,100.3354,89.53,73,40,9.22,scattered clouds
184,Zhangjiakou,CN,40.81,114.8794,15.44,57,3,2.15,clear sky
185,Meulaboh,ID,4.1363,96.1285,79.86,76,100,2.48,moderate rain
186,Sinop,TR,41.7711,34.8709,41.43,81,6,3.98,clear sky
187,Sur,OM,22.5667,59.5289,76.21,46,0,6.85,clear sky
188,Oyama,JP,36.3,139.8,49.03,27,72,7.0,broken clouds
189,Vuyyuru,IN,16.3667,80.85,84.33,58,40,6.91,scattered clouds
190,Rorvik,NO,64.8621,11.2373,26.58,64,100,25.39,overcast clouds
191,Okhotsk,RU,59.3833,143.3,6.93,80,99,8.97,overcast clouds
192,Kalmunai,LK,7.4167,81.8167,81.95,63,66,13.42,broken clouds
193,Avarua,CK,-21.2078,-159.775,78.85,89,75,13.8,broken clouds
194,Bogo,PH,11.0517,124.0055,82.9,68,74,6.38,broken clouds
195,Acapulco,MX,16.8634,-99.8901,75.02,88,0,0.0,clear sky
196,Chimore,BO,-16.9833,-65.1333,71.35,97,100,1.74,overcast clouds
