City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Lashio,MM,2022-02-15 21:56:32,22.9333,97.75,44.62,48,1,1.88
204,Nyrob,RU,2022-02-15 21:56:32,60.733,56.7202,19.06,96,100,5.17
205,New Norfolk,AU,2022-02-15 21:56:33,-42.7826,147.0587,63.9,68,95,2.66
206,Bara,NG,2022-02-15 21:56:33,10.3744,10.7288,76.73,16,96,8.5
207,Bonavista,CA,2022-02-15 21:56:34,48.6499,-53.1147,15.12,61,100,18.63
208,Soroca,MD,2022-02-15 21:56:34,48.1558,28.2975,35.02,89,19,5.21
209,Roma,US,2022-02-15 21:56:12,43.2128,-75.4557,26.46,61,84,5.99
210,Bismarck,US,2022-02-15 21:56:25,46.8083,-100.7837,29.88,69,100,9.22
211,Alyangula,AU,2022-02-15 21:56:35,-13.8483,136.4192,73.27,100,75,3.44
212,Bida,NG,2022-02-15 21:56:35,9.0833,6.0167,83.91,14,0,2.19
213,Brae,GB,2022-02-15 21:56:36,60.3964,-1.353,37.31,87,99,5.61
214,Ormara,PK,2022-02-15 21:56:36,25.2088,64.6357,71.26,55,0,9.89
215,Ngunguru,NZ,2022-02-15 21:56:37,-35.6167,174.5,72.16,59,64,3.98
216,Daru,PG,2022-02-15 21:56:37,-9.0763,143.2092,80.8,83,98,3.51
217,Kovdor,RU,2022-02-15 21:56:37,67.5662,30.4758,2.84,95,94,2.06
218,Guerrero Negro,MX,2022-02-15 21:56:38,27.9769,-114.0611,68.94,50,52,11.32
219,Duldurga,RU,2022-02-15 21:56:38,50.6761,113.5931,-19.61,99,31,2.1
220,Fort Nelson,CA,2022-02-15 21:56:38,58.8053,-122.7002,-0.81,71,75,0.0
221,Obigarm,TJ,2022-02-15 21:56:39,38.7173,69.7088,16.74,75,100,7.47
222,Pacific Grove,US,2022-02-15 21:53:26,36.6177,-121.9166,63.1,61,0,14.97
223,Bandarban,BD,2022-02-15 21:56:39,22.1965,92.2262,53.4,63,4,2.84
224,Atambua,ID,2022-02-15 21:56:40,-9.1061,124.8925,72.37,88,88,3.27
